Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
12.13,0,0.0840410173987847695741327123,0.0840410173987848,0.0840410173987848,0.0840410173987848,0.0840410173987848,0,0.0000000,0.0000000,0,8.831596568993434461404897185,67.837778026115873443959403403,71.555285587549435122630694134,1029095000
12.14,0,0.0840192138726471457955425003,0.0840192138726471,0.0840192138726471,0.0840192138726471,0.0840192138726471,0,0.0000000,0.0000000,0,8.828413821776294500691162991,67.82956890159152522167294072,71.549949457087028442070486988,1029943000
12.15,0,0.0839974505227664896370731166,0.0839974505227665,0.0839974505227665,0.0839974505227665,0.0839974505227665,0,0.0000000,0.0000000,0,8.825233061190769417724376481,67.821367231437308756965304093,71.544619552050869573786176921,1030791000
12.16,0,0.0839757201436283721746975306,0.0839757201436284,0.0839757201436284,0.0839757201436284,0.0839757201436284,0,0.0000000,0.0000000,0,8.822054398165629129597474308,67.813168663208446698263177326,71.539293034900236315947294181,1031640000
12.17,0,0.0839540473930895633093881844,0.0839540473930896,0.0839540473930896,0.0839540473930896,0.0839540473930896,0,0.0000000,0.0000000,0,8.818878113428178229446415931,67.804973896484931640033956478,71.533970238543812284270243305,1032488000
12.18,0,0.0839323965442122972490233224,0.0839323965442123,0.0839323965442123,0.0839323965442123,0.0839323965442123,0,0.0000000,0.0000000,0,8.815704089612073014579252003,67.796785755008533672716267901,71.528653027260588102251865167,1033337000
12.19,0,0.0839108074279226492399765140,0.0839108074279226,0.0839108074279226,0.0839108074279226,0.0839108074279226,0,0.0000000,0.0000000,0,8.812532163446631373959850779,67.7885849976991275447571044,71.523329122778995317474175384,1034185000
12.20,0,0.0838892585382794003635724102,0.0838892585382794,0.0838892585382794,0.0838892585382794,0.0838892585382794,0,0.0000000,0.0000000,0,8.809362496184133576767194512,67.780409012309448835171614481,71.518022456485408405979804095,1035033000
12.21,0,0.0838677354437566866025640947,0.0838677354437567,0.0838677354437567,0.0838677354437567,0.0838677354437567,0,0.0000000,0.0000000,0,8.806194883088592568223288262,67.772235467138610721183713749,71.512718784201542444235146855,1035882000
12.22,0,0.0838462698919819027476218796,0.0838462698919819,0.0838462698919819,0.0838462698919819,0.0838462698919819,0,0.0000000,0.0000000,0,8.803029415955974265421068681,67.764065794331354203438173737,71.507418988731803595602071274,1036730000
12.23,0,0.0838248436412541107290501968,0.0838248436412541,0.0838248436412541,0.0838248436412541,0.0838248436412541,0,0.0000000,0.0000000,0,8.799866513523461261496495226,67.755904550620252646135802644,71.502125819123914521198769355,1037578000
12.24,0,0.0838034542183564370079624184,0.0838034542183564,0.0838034542183564,0.0838034542183564,0.0838034542183564,0,0.0000000,0.0000000,0,8.796705549454653825628550152,67.747748230456944394803332578,71.496837294124827213913722436,1038427000
12.25,0,0.0837821164807408207496630171,0.0837821164807408,0.0837821164807408,0.0837821164807408,0.0837821164807408,0,0.0000000,0.0000000,0,8.793547213900351226996215713,67.739578570953352158189443942,71.491541399437247793313494629,1039275000
12.26,0,0.0837608063921821622048812180,0.0837608063921822,0.0837608063921822,0.0837608063921822,0.0837608063921822,0,0.0000000,0.0000000,0,8.790391075958127706649405765,67.731434171389031277398126375,71.486263096944202891139032571,1040124000
12.27,0,0.0837395518715279480361222964,0.0837395518715279,0.0837395518715279,0.0837395518715279,0.0837395518715279,0,0.0000000,0.0000000,0,8.787236879548330533767102562,67.72328879081909729850318008,71.480985655010857701589218637,1040972000
12.28,0,0.0837183344805363165100711930,0.0837183344805363,0.0837183344805363,0.0837183344805363,0.0837183344805363,0,0.0000000,0.0000000,0,8.784084740050760653571311162,67.715149359499263010708960609,71.475713475385593810672799767,1041820000
12.29,0,0.0836971499646806415901054675,0.0836971499646806,0.0836971499646806,0.0836971499646806,0.0836971499646806,0,0.0000000,0.0000000,0,8.780935404073481955025899815,67.707021790720880316314652972,71.470450036383766958771574965,1042669000
12.30,0,0.0836760148290079308574195663,0.0836760148290079,0.0836760148290079,0.0836760148290079,0.0836760148290079,0,0.0000000,0.0000000,0,8.777787730976497411481941982,67.698875347768336053598340742,71.46517609897148589633675467,1043517000
12.31,0,0.0836549134449901364790166173,0.0836549134449901,0.0836549134449901,0.0836549134449901,0.0836549134449901,0,0.0000000,0.0000000,0,8.774642729017404940032374317,67.690751816995124857549000481,71.459918055830200260154291777,1044366000
12.32,0,0.0836338586262262899048190468,0.0836338586262263,0.0836338586262263,0.0836338586262263,0.0836338586262263,0,0.0000000,0.0000000,0,8.771499812122610457770133472,67.682636273183304347215559094,71.454666580176502084448170745,1045214000
12.33,0,0.0836128497954644259681204035,0.0836128497954644,0.0836128497954644,0.0836128497954644,0.0836128497954644,0,0.0000000,0.0000000,0,8.768359445273735557831178905,67.674526109756661400975876426,71.449419801130752486995872853,1046062000
12.34,0,0.0835918667773025467941218322,0.0835918667773026,0.0835918667773026,0.0835918667773026,0.0835918667773026,0,0.0000000,0.0000000,0,8.765221187534797509394492869,67.666418628266199319773629661,71.444176178336536083760569984,1046911000
12.35,0,0.0835709371918023688500420581,0.0835709371918024,0.0835709371918024,0.0835709371918024,0.0835709371918024,0,0.0000000,0.0000000,0,8.762085082914870905596034822,67.658313507873373260172313154,71.438935489235640598370516999,1047759000
12.36,0,0.0835500455324642297475175469,0.0835500455324642,0.0835500455324642,0.0835500455324642,0.0835500455324642,0,0.0000000,0.0000000,0,8.758951131025012015614787018,67.650196595563846650333112761,71.433688651112612132220802601,1048607000
12.37,0,0.0835291927188834354292311001,0.0835291927188834,0.0835291927188834,0.0835291927188834,0.0835291927188834,0,0.0000000,0.0000000,0,8.755819676172765756543686111,67.64210473841014864850642527,71.428459170459216527558841149,1049456000
12.38,0,0.0835083812339386007410698264,0.0835083812339386,0.0835083812339386,0.0835083812339386,0.0835083812339386,0,0.0000000,0.0000000,0,8.752690457749753073604737158,67.634016552906538199537296323,71.423233435340115675846321281,1050304000
12.39,0,0.0834876084727356470004419525,0.0834876084727356,0.0834876084727356,0.0834876084727356,0.0834876084727356,0,0.0000000,0.0000000,0,8.749563559861359207847854014,67.625935433439782196412990597,71.418013590450109271397040929,1051153000
